Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
carpintero alicante,Commercial,320,"1.00,0.28,0.82,0.54,0.82,0.54,1.00,0.67,0.82,0.54,0.67,0.67",19,0.42,0.23,"People also ask, Local pack, Related searches",125
todo maderas alicante,Navigational,260,"0.81,0.81,1.00,0.53,0.81,0.53,0.81,0.81,0.81,0.65,0.53,0.81",31,0.00,0.21,"Sitelinks, Knowledge panel, Related searches",71
aluminios alicante,Commercial,210,"0.80,1.00,1.00,0.42,0.53,0.65,0.65,0.53,0.53,0.53,0.53,0.65",50,1.26,0.47,"Image, Local pack, Related searches",167000
cerramientos y carpintería de aluminio y metal en alicante,Navigational,210,"0.28,0.28,0.43,0.35,0.66,0.66,1.00,1.00,0.66,0.66,0.66,1.00",13,1.48,0.12,"Sitelinks, Image, People also ask, Knowledge panel, Related searches",22600
puertas alicante,Commercial,210,"0.80,0.64,0.64,0.64,1.00,1.00,0.80,0.64,0.64,0.64,0.80,1.00",12,0.46,0.44,"Image, Video, Local pack, Related searches",17000000
todo madera alicante,Navigational,210,"0.79,0.79,1.00,0.52,1.00,0.79,1.00,1.00,1.00,0.79,0.79,1.00",39,0.00,0.21,"Sitelinks, Image, Video, Knowledge panel, Related searches",18600000
carpintería alicante,Commercial,170,"1.00,0.82,0.43,0.20,0.66,0.27,0.66,0.34,0.52,0.20,0.43,0.82",18,0.94,0.19,"Image, Local pack, Related searches",1870000
aluminio alicante,Commercial,140,"0.43,0.65,0.53,0.21,0.28,0.21,0.53,0.53,0.21,0.28,0.21,1.00",51,1.26,0.47,"Image, People also ask, Local pack, Related searches",5680000
carpinteria aluminio alicante,Commercial,140,"1.00,0.65,0.53,0.42,0.53,0.53,0.80,0.42,0.42,0.34,0.34,0.53",48,1.32,0.43,"Image pack, Video, People also ask, Local pack",1
maderas alicante,Commercial,140,"1.00,1.00,0.83,0.83,1.00,0.63,0.63,0.83,0.51,0.51,1.00,0.63",35,0.22,0.85,"Image, Video, Local pack, Related searches",
carpinteria alicante,Commercial,110,"0.65,0.53,0.26,0.26,0.34,0.34,0.34,0.34,0.26,0.26,0.80,1.00",25,0.94,0.19,"Image, Local pack, Related searches",
carpinteria de aluminio alicante,Commercial,110,"0.81,1.00,0.64,0.53,0.53,0.40,0.81,0.40,0.40,0.64,0.40,0.64",48,1.07,0.23,"Image, Local pack, Related searches",328000
carpinteria metalica alicante,Commercial,110,"0.65,0.65,0.65,0.40,0.65,0.82,0.65,0.65,0.65,0.40,0.65,1.00",13,1.04,0.24,"Image, Local pack, Related searches",48
carpinteros alicante,Commercial,110,"0.43,1.00,0.12,0.23,0.53,0.17,0.43,0.28,0.12,0.23,0.10,0.02",17,0.42,0.23,"Image, Video, People also ask, Local pack, Related searches",375000
